event_edition_id,event_name,event_category,registration_type,start_date,end_date,venue,city,event_tags
11726,G3 Duathlon - Individual - 2015,Sports,Paid,2015-11-08 05:00:00,2015-11-08 00:00:00,Chennai Equitation Centre,Chennai,Sports Other
11732,Invitation to RunHappy - an inspirational session ,Conferences,Paid,2015-11-07 16:00:00,2015-11-07 18:00:00,TNCA Club,Chennai,Learning & Workshops
11733,Freemason Brotherhood\tRun Offline,Sports,Free,2016-04-10 07:00:00,2016-04-10 09:00:00,Anna University ,Chennai,Sports
11734,Run Bhopal Run,Sports,Paid,2015-12-06 06:00:00,2015-12-06 11:00:00,Tatya Tope Stadium ,Bhopal,Sports
11740,Time2fitness BOOTCAMP,Entertainment,Paid,2015-12-10 15:23:00,2016-03-01 19:45:00,"17A First Floor Gokul Arcade, # 2 Sardar Patel Road   ",Chennai,Variety
11746,Jazz Concert : Mezcal Jazz Unit,Entertainment,Paid,2015-11-20 19:00:00,2015-11-20 00:00:00,Edouard Michelin Auditorium,Chennai,Movies
11788,Petite Princess Chennai Season 2 Grand Finale,Entertainment,Paid,2016-01-24 19:00:00,2016-01-24 00:00:00,LADY ANDAL AUDITORIUM,Chennai,Contests
11791,Lets Talk Running - Dr. Rajat Chauhan,Conferences,Paid,2015-11-21 17:00:00,2015-11-21 19:00:00,TNCA Club,Chennai,Learning & Workshops
11913,Hariharan Live-in-Concert,Entertainment,Paid,2015-12-27 18:00:00,2015-12-27 00:00:00,Sri Kanteerava Indoor Stadium,Bengaluru,Music and Dance
11922,Manganiyar Classroom,Entertainment,Paid,2015-12-11 19:00:00,2015-12-11 00:00:00,Sir Mutha VenkataSubba Rao Auditorium,Chennai,Theatre
12023,Airtel Run For Education - Airtel Customers,Sports,Paid,2015-11-29 05:45:00,2015-11-29 00:00:00,City Center 1 ,Kolkata,Sports
12029,Club Nite Party 2016 With Legendary DJ - Pulse,Entertainment,Paid,2015-12-31 21:00:00,2015-12-31 00:00:00,Pulse,Chennai,Music and Dance
12071,Ridley Run ‘16,Sports,Paid,2016-02-21 06:00:00,2016-02-21 08:00:00,Marina Beach,Chennai,Sports
12072,Play to Win - Bangalore,Entertainment,Paid,2016-01-22 09:00:00,2016-01-24 18:00:00,Vivanta By Taj,Bengaluru,Contests
12073,Play to Win - Chennai,Entertainment,Paid,2016-01-29 09:00:00,2016-01-31 18:00:00,The Westin,Chennai,Contests
12109,Workshop on Recent Trends & Technology - Madurai,Entertainment,Paid,2015-12-10 09:00:00,2015-12-12 13:30:00,"No:634,Opp to “THE HINDU OFFICE”",Madurai,Contests
12118,MMRT 42 Chennai Flood Relief ,Entertainment,Paid,2015-12-04 17:45:00,2016-01-10 00:00:00,Chennai,Chennai,Variety
12131,Poke Me,Entertainment,Paid,2015-12-13 15:00:00,2015-12-13 00:00:00,Egmore Museum Theatre,Chennai,Comedy
